time	V(x)
0.000000000000000e+000	0.000000e+000
9.999999717180685e-010	-7.094084e-012
1.005031631311355e-009	-7.129771e-012
1.010063290904641e-009	-7.165445e-012
1.015094950497928e-009	-7.201104e-012
1.020126610091214e-009	-7.236750e-012
1.025158269684500e-009	-7.272381e-012
1.030189929277787e-009	-7.307998e-012
1.035221588871073e-009	-7.343601e-012
3.409481244268277e-009	-2.247862e-011
5.783740899665482e-009	-3.603618e-011
8.158000555062685e-009	-4.801626e-011
1.053226021045989e-008	-5.841888e-011
1.290651986585709e-008	-6.724403e-011
1.528077952125430e-008	-7.449171e-011
1.765503917665150e-008	-8.016192e-011
2.022803291771669e-008	-8.608552e-011
2.276934587293985e-008	-9.111464e-011
2.520522042923392e-008	-9.524159e-011
2.751645333681721e-008	-9.861179e-011
2.976507305505664e-008	-1.014511e-010
3.194669300419247e-008	-1.038486e-010
3.409689681676641e-008	-1.059130e-010
3.620625045002444e-008	-1.076854e-010
3.840012831825689e-008	-1.092957e-010
4.078574971405207e-008	-1.108183e-010
4.335179845288852e-008	-1.122303e-010
4.614701200656795e-008	-1.135437e-010
4.916764717927667e-008	-1.147441e-010
5.246855147307204e-008	-1.158441e-010
5.606198442650553e-008	-1.168414e-010
6.001060420402353e-008	-1.177512e-010
6.434511044505590e-008	-1.185832e-010
6.914344695303558e-008	-1.193609e-010
7.446299676833137e-008	-1.201094e-010
8.040986956274728e-008	-1.208685e-010
8.708397200199182e-008	-1.216879e-010
9.464319103425344e-008	-1.226398e-010
1.032620609711241e-007	-1.238216e-010
1.131983498084402e-007	-1.253763e-010
1.247718205370342e-007	-1.275116e-010
1.384503996757652e-007	-1.305517e-010
1.548743871220066e-007	-1.349830e-010
1.730471351762567e-007	-1.409544e-010
1.946959636306436e-007	-1.496114e-010
2.201013531712034e-007	-1.619927e-010
2.523572172118790e-007	-1.811357e-010
2.653683604709311e-007	-1.892815e-010
2.783795037299833e-007	-1.982217e-010
2.913906469890355e-007	-2.079563e-010
3.044017902480876e-007	-2.184854e-010
3.174129335071398e-007	-2.298088e-010
3.304240767661919e-007	-2.419267e-010
3.434352200252441e-007	-2.548390e-010
4.372301885930664e-007	-3.656131e-010
5.310251571608887e-007	-5.085750e-010
6.248201257287110e-007	-6.837248e-010
7.186150942965332e-007	-8.910625e-010
8.124100628643555e-007	-1.130588e-009
9.062050314321779e-007	-1.402302e-009
1.000000000000000e-006	-1.706203e-009
1.043121673951144e-006	-1.859263e-009
1.088322384396542e-006	-2.028804e-009
1.178723805287339e-006	-2.395546e-009
1.344913611937897e-006	-3.140971e-009
1.500328909191823e-006	-3.929003e-009
1.712569724641476e-006	-5.154105e-009
2.218624457647734e-006	-8.773349e-009
2.542270179972019e-006	-1.147516e-008
2.552442437215140e-006	-1.156933e-008
2.566005446872633e-006	-1.169574e-008
2.594589664346649e-006	-1.196370e-008
2.600422456982763e-006	-1.201894e-008
2.608199513830914e-006	-1.209292e-008
2.623753627527216e-006	-1.224205e-008
2.654861854919821e-006	-1.254384e-008
2.661323145225179e-006	-1.260666e-008
2.667784435530536e-006	-1.266971e-008
2.674245725835893e-006	-1.273301e-008
2.680707016141250e-006	-1.279655e-008
2.687168306446608e-006	-1.286032e-008
2.693629596751965e-006	-1.292434e-008
2.700090887057322e-006	-1.298860e-008
2.711185489002670e-006	-1.309918e-008
2.733374692893364e-006	-1.332114e-008
2.759785249114635e-006	-1.358679e-008
2.792315766369436e-006	-1.391585e-008
2.797562895094476e-006	-1.396922e-008
