time	V(msg)	V(x)-V(a)
0.000000000000000e+000	0.000000e+000	9.520296e-007
7.999999968033578e-011	4.000000e-001	9.520296e-007
1.599999993606716e-010	8.000000e-001	9.520313e-007
3.199999987213431e-010	1.600000e+000	9.520461e-007
6.399999974426862e-010	3.200000e+000	9.520992e-007
7.600000009589926e-010	3.800000e+000	9.521245e-007
1.000000000000000e-009	5.000000e+000	9.521800e-007
1.023999999904101e-009	5.000000e+000	9.521857e-007
1.071999999712302e-009	5.000000e+000	9.521971e-007
1.143999999424605e-009	5.000000e+000	9.522139e-007
1.239999999041007e-009	5.000000e+000	9.522358e-007
1.431999998273813e-009	5.000000e+000	9.522774e-007
1.815999996739425e-009	5.000000e+000	9.513510e-007
2.583999993670649e-009	5.000000e+000	9.421180e-007
4.119999987533095e-009	5.000000e+000	9.125992e-007
7.191999975257990e-009	5.000000e+000	8.789645e-007
1.333599995070778e-008	5.000000e+000	8.855868e-007
2.562399990160735e-008	5.000000e+000	9.383474e-007
2.869599988933225e-008	5.000000e+000	9.467158e-007
3.483999986478204e-008	5.000000e+000	9.559248e-007
3.944799984636938e-008	5.000000e+000	9.615227e-007
7.718971398127524e-008	5.000000e+000	9.610681e-007
1.149314281161811e-007	5.000000e+000	9.600846e-007
1.526731422510870e-007	5.000000e+000	9.585724e-007
1.904148563859928e-007	5.000000e+000	9.565313e-007
2.281565705208987e-007	5.000000e+000	9.539613e-007
2.658982846558045e-007	5.000000e+000	9.508626e-007
3.036399987907103e-007	5.000000e+000	9.472350e-007
3.703462842384508e-007	5.000000e+000	9.497004e-007
4.370525696861915e-007	5.000000e+000	9.516203e-007
5.037588551339320e-007	5.000000e+000	9.529948e-007
5.704651405816726e-007	5.000000e+000	9.538239e-007
6.371714260294132e-007	5.000000e+000	9.541075e-007
7.038777114771538e-007	5.000000e+000	9.538457e-007
7.705839969248942e-007	5.000000e+000	9.530384e-007
1.662341707647321e-006	5.000000e+000	9.524962e-007
2.554099418369748e-006	5.000000e+000	9.520872e-007
3.445857129092174e-006	5.000000e+000	9.518115e-007
4.337614839814601e-006	5.000000e+000	9.516690e-007
5.229372550537027e-006	5.000000e+000	9.516597e-007
6.121130261259454e-006	5.000000e+000	9.517837e-007
7.012887971981879e-006	5.000000e+000	9.520409e-007
6.236201641341906e-003	5.000000e+000	4.633168e-007
1.246539039471183e-002	5.000000e+000	4.978187e-007
1.869457914808176e-002	5.000000e+000	1.055547e-006
2.492376790145168e-002	5.000000e+000	2.136500e-006
3.115295665482160e-002	5.000000e+000	3.740680e-006
3.738214540819153e-002	5.000000e+000	5.868086e-006
4.361133416156143e-002	5.000000e+000	8.518718e-006
4.575419130441857e-002	5.000000e+000	9.800707e-006
4.789704844727572e-002	5.000000e+000	1.239680e-005
5.003990559013286e-002	5.000000e+000	1.630700e-005
5.218276273299001e-002	5.000000e+000	2.153130e-005
5.432561987584715e-002	5.000000e+000	2.806971e-005
5.646847701870429e-002	5.000000e+000	3.592222e-005
5.861133416156143e-002	5.000000e+000	4.508883e-005
6.161133416156143e-002	5.000000e+000	6.479195e-005
